Strain,Antibiotic,Status,IC50,IC50_ci_lower,IC50_ci_upper,MIC,MIC_ci_lower,MIC_ci_upper,insufficient_drug
DEAD_H0,CEFTAZIDIME,PASS,0.05832645197880584,0.05832645197880584,0.05832645197880584,0.05832645197880584,0.05832645197880584,0.05832645197880584,True
SVL_MIX_H0,CEFTAZIDIME,PASS,0.05832645197880584,0.05832645197880584,0.05832645197880584,0.05832645197880584,0.05832645197880584,0.05832645197880584,True
CML_MIX_H0,CEFTAZIDIME,PASS,0.05832645197880584,0.05832645197880584,0.05832645197880584,0.05832645197880584,0.05832645197880584,0.05832645197880584,True
WT_H0,CEFTAZIDIME,PASS,0.05832645197880584,0.05832645197880584,0.05832645197880584,0.05832645197880584,0.05832645197880584,0.05832645197880584,True
DEAD_H3,CEFTAZIDIME,PASS,0.05832645197880584,0.05832645197880584,0.05832645197880584,0.05832645197880584,0.05832645197880584,0.05832645197880584,True
SVL_MIX_H3,CEFTAZIDIME,PASS,0.0018469322003084494,0.0015565677486321337,0.002151450196152415,0.09882041834109524,0.06575143270772499,0.16640658322413168,False
CML_MIX_H3,CEFTAZIDIME,PASS,0.0009910595034440732,0.000849259137009155,0.0011428383024273902,0.024794799198300202,0.018946559730415882,0.03153884893940308,False
WT_H3,CEFTAZIDIME,PASS,0.007814277453217064,0.007266204835545991,0.008434304640295372,0.03381678067210916,0.026418202676321546,0.053458039075098086,False
DEAD_H6,CEFTAZIDIME,PASS,0.00010555448306242231,9.59625044009838e-05,0.00011085453561163862,0.0002382794181247197,0.00016530613379017744,0.0003012825416866588,False
SVL_MIX_H6,CEFTAZIDIME,PASS,0.00010825476298583379,9.351171346686169e-05,0.00012014738720747791,0.00022826415473864258,0.00013407011787768054,0.00028299002203947897,False
CML_MIX_H6,CEFTAZIDIME,PASS,0.00020081236719380358,0.00019439080589592718,0.00020685907941334829,0.0012030346090256808,0.0010945950347590052,0.0013192241780265997,False
WT_H6,CEFTAZIDIME,PASS,0.00015225233053972755,0.00014896774355201302,0.0001548614299596744,0.0003414842179072454,0.00031214462380596786,0.0004055465982233619,False
DEAD_H9,CEFTAZIDIME,PASS,8.883630657937666e-05,8.501297758425297e-05,9.564546227952537e-05,0.00012862073325354,0.00010419161895209981,0.00015048915559676484,False
SVL_MIX_H9,CEFTAZIDIME,PASS,0.00011512681232708225,0.00010633906882633183,0.0001243872549864311,0.00038853688875655027,0.00031607353246017046,0.0004582215507510162,False
CML_MIX_H9,CEFTAZIDIME,PASS,0.0004728952942340406,0.00044651093218835754,0.0005018568888571618,0.0080700498278046,0.0072955749009221875,0.009033159247483194,False
WT_H9,CEFTAZIDIME,PASS,0.00018806768920922302,0.00018527369289193,0.0001915428937305953,0.0006316001106721484,0.0005948212962909287,0.0006793523335329851,False
DEAD_H12.45,CEFTAZIDIME,PASS,8.541145027072156e-05,7.888282439291589e-05,9.48889804200153e-05,0.00012389211739762392,0.00010285815787625128,0.0001436798748743258,False
SVL_MIX_H12.45,CEFTAZIDIME,PASS,0.000344100792492666,0.0003172283030713042,0.00037190126948436506,0.006509739732855201,0.005459543751709522,0.007950163300054786,False
CML_MIX_H12.45,CEFTAZIDIME,PASS,0.0015930522780110768,0.0014969552664590795,0.0016814727241029712,0.03435955567638286,0.030604073531182007,0.03774071133457965,False
WT_H12.45,CEFTAZIDIME,PASS,0.00022667197772823392,0.0002199477666811587,0.00023273693058048817,0.0005944593888791899,0.0005542815171926699,0.0006462953182183355,False
DEAD_H24,CEFTAZIDIME,PASS,0.00013709844121688084,0.00011233686881158553,0.00015974746886983108,0.0007642855415489392,0.0006109526767319695,0.001019877863614427,False
SVL_MIX_H24,CEFTAZIDIME,PASS,0.002412864460954292,0.001688736420902522,0.0039479792544857934,0.006061798694778568,0.0026924368727924038,0.01317687067878299,False
CML_MIX_H24,CEFTAZIDIME,PASS,0.003999548917096625,0.0038875935295894725,0.004175407317649654,0.005451795576786347,0.0054360151646842955,0.005494572124134381,False
WT_H24,CEFTAZIDIME,PASS,0.0005172859306980535,0.000492594460155824,0.0005502655123385895,0.0038509374550131305,0.003516596320500686,0.004297652525823129,False
